Data	Energia Esperad kWh		Curva de carga kWh		Diferencia	%
2020-09-11 09:00:00+0200	65,216824727		48			0,736006394065264
2020-09-11 10:00:00+0200	296,028734305		210			0,709390595115797
2020-09-11 11:00:00+0200	694,785131429		564			0,811761758401468
2020-09-11 12:00:00+0200	1083,094374870		878			0,810640347112303
2020-09-11 13:00:00+0200	1263,216193740		1011			0,800338061695311
2020-09-11 14:00:00+0200	1487,209499460		1135			0,763174253803593
2020-09-11 15:00:00+0200	1004,048117330		841			0,837609259441088
2020-09-11 16:00:00+0200	1398,200328700		1089			0,77885834929857
2020-09-11 17:00:00+0200	878,963383125		679			0,772500894844942
2020-09-11 18:00:00+0200	645,065517350		510			0,790617365651688
2020-09-11 19:00:00+0200	418,982702854		337			0,804329147013575
2020-09-11 20:00:00+0200	197,982901050		145			0,732386479999001
2020-09-11 21:00:00+0200	28,269618278		13			0,459857641952909
2020-09-11 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-11 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-12 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-12 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-12 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-12 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-12 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-12 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-12 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-12 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-12 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-12 09:00:00+0200	36,317139077		26			0,715915423435774
2020-09-12 10:00:00+0200	303,708266355		227			0,74742779551039
2020-09-12 11:00:00+0200	771,425091808		612			0,793336911774087
2020-09-12 12:00:00+0200	1081,837224430		876			0,809733645892568
2020-09-12 13:00:00+0200	1387,279577670		1108			0,798685440076136
2020-09-12 14:00:00+0200	1517,064599540		1210			0,797592930694509
2020-09-12 15:00:00+0200	1434,681107040		1145			0,798086762543585
2020-09-12 16:00:00+0200	1476,087748170		1177			0,797378070144679
2020-09-12 17:00:00+0200	969,301299004		748			0,771689876789191
