
------------------------+----------+-----------------+------------------
          time          | plant_id |   plant_name    | export_energy_wh 
 2015-12-01 00:00:00+01 |        2 | Riudarenes_SM   |          1109000
 2015-12-01 00:00:00+01 |        4 | Riudarenes_BR   |          1180000
 2015-12-01 00:00:00+01 |        5 | Riudarenes_ZE   |          1503000
 2015-12-01 00:00:00+01 |        9 | Picanya         |         10850000
 2015-12-01 00:00:00+01 |       10 | Torregrossa     |         13040000
 2015-12-01 00:00:00+01 |       11 | Valteina        |        142710000
 2015-12-01 00:00:00+01 |       14 | Manlleu_Piscina |          5020000
 2015-12-01 00:00:00+01 |       15 | Manlleu_Pavello |          4478000
 2015-12-01 00:00:00+01 |       16 | Lleida          |          3336000
 2015-12-01 00:00:00+01 |       17 | Torrefarrera    |          3477000
 2016-01-01 00:00:00+01 |        2 | Riudarenes_SM   |          1233000
 2016-01-01 00:00:00+01 |        4 | Riudarenes_BR   |          1323000
 2016-01-01 00:00:00+01 |        5 | Riudarenes_ZE   |          1537000
 2016-01-01 00:00:00+01 |        9 | Picanya         |         12579000
 2016-01-01 00:00:00+01 |       10 | Torregrossa     |        106770000
 2016-01-01 00:00:00+01 |       11 | Valteina        |        195600000
 2016-01-01 00:00:00+01 |       14 | Manlleu_Piscina |          5454000
 2016-01-01 00:00:00+01 |       15 | Manlleu_Pavello |          4853000
 2016-01-01 00:00:00+01 |       16 | Lleida          |          5649000
 2016-01-01 00:00:00+01 |       17 | Torrefarrera    |          7016000
 2016-02-01 00:00:00+01 |        2 | Riudarenes_SM   |          1739000
 2016-02-01 00:00:00+01 |        4 | Riudarenes_BR   |          1928000
 2016-02-01 00:00:00+01 |        5 | Riudarenes_ZE   |          1485000
 2016-02-01 00:00:00+01 |        9 | Picanya         |         17431000
 2016-02-01 00:00:00+01 |       10 | Torregrossa     |        134010000
 2016-02-01 00:00:00+01 |       11 | Valteina        |        177500000
 2016-02-01 00:00:00+01 |       14 | Manlleu_Piscina |          7956000
 2016-02-01 00:00:00+01 |       15 | Manlleu_Pavello |          7413000
 2016-02-01 00:00:00+01 |       16 | Lleida          |          8654000
 2016-02-01 00:00:00+01 |       17 | Torrefarrera    |         10269000
 2016-03-01 00:00:00+01 |        2 | Riudarenes_SM   |          2406000
 2016-03-01 00:00:00+01 |        4 | Riudarenes_BR   |          2583000
 2016-03-01 00:00:00+01 |        5 | Riudarenes_ZE   |          2043000
 2016-03-01 00:00:00+01 |        9 | Picanya         |         26871000
 2016-03-01 00:00:00+01 |       10 | Torregrossa     |        121330000
 2016-03-01 00:00:00+01 |       11 | Valteina        |        222210000
 2016-03-01 00:00:00+01 |       14 | Manlleu_Piscina |         10692000
 2016-03-01 00:00:00+01 |       15 | Manlleu_Pavello |         10467000
 2016-03-01 00:00:00+01 |       16 | Lleida          |         13109000
 2016-03-01 00:00:00+01 |       17 | Torrefarrera    |         14583000
 2016-04-01 00:00:00+02 |        2 | Riudarenes_SM   |          2775000
 2016-04-01 00:00:00+02 |        4 | Riudarenes_BR   |          2904000
 2016-04-01 00:00:00+02 |        5 | Riudarenes_ZE   |          1874000
 2016-04-01 00:00:00+02 |        9 | Picanya         |         32239000
 2016-04-01 00:00:00+02 |       10 | Torregrossa     |        130980000
 2016-04-01 00:00:00+02 |       11 | Valteina        |        215350000
 2016-04-01 00:00:00+02 |       14 | Manlleu_Piscina |         12325000
 2016-04-01 00:00:00+02 |       15 | Manlleu_Pavello |         13128000
 2016-04-01 00:00:00+02 |       16 | Lleida          |         14673000
 2016-04-01 00:00:00+02 |       17 | Torrefarrera    |         15608000
 2016-05-01 00:00:00+02 |        1 | Alcolea         |        261538000
 2016-05-01 00:00:00+02 |        2 | Riudarenes_SM   |          3033000
 2016-05-01 00:00:00+02 |        4 | Riudarenes_BR   |          3064000
 2016-05-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2371000
 2016-05-01 00:00:00+02 |        9 | Picanya         |         34749000
 2016-05-01 00:00:00+02 |       10 | Torregrossa     |         40370000
 2016-05-01 00:00:00+02 |       11 | Valteina        |        219090000
 2016-05-01 00:00:00+02 |       14 | Manlleu_Piscina |         13772000
 2016-05-01 00:00:00+02 |       15 | Manlleu_Pavello |         15408000
 2016-05-01 00:00:00+02 |       16 | Lleida          |         16224000
 2016-05-01 00:00:00+02 |       17 | Torrefarrera    |         16819000
 2016-06-01 00:00:00+02 |        1 | Alcolea         |        289659000
 2016-06-01 00:00:00+02 |        2 | Riudarenes_SM   |          3299000
 2016-06-01 00:00:00+02 |        4 | Riudarenes_BR   |          3313000
 2016-06-01 00:00:00+02 |        5 | Riudarenes_ZE   |          3023000
 2016-06-01 00:00:00+02 |        9 | Picanya         |         42201000
 2016-06-01 00:00:00+02 |       10 | Torregrossa     |          4450000
 2016-06-01 00:00:00+02 |       11 | Valteina        |        140580000
 2016-06-01 00:00:00+02 |       14 | Manlleu_Piscina |         14019000
 2016-06-01 00:00:00+02 |       15 | Manlleu_Pavello |         16555000
 2016-06-01 00:00:00+02 |       16 | Lleida          |         17248000
 2016-06-01 00:00:00+02 |       17 | Torrefarrera    |         16498000
 2016-07-01 00:00:00+02 |        1 | Alcolea         |        360386000
 2016-07-01 00:00:00+02 |        2 | Riudarenes_SM   |          3503000
 2016-07-01 00:00:00+02 |        4 | Riudarenes_BR   |          3560000
 2016-07-01 00:00:00+02 |        5 | Riudarenes_ZE   |          2828000
 2016-07-01 00:00:00+02 |        9 | Picanya         |         40291000
 2016-07-01 00:00:00+02 |       10 | Torregrossa     |         24600000
 2016-07-01 00:00:00+02 |       11 | Valteina        |          9620000
 2016-07-01 00:00:00+02 |       14 | Manlleu_Piscina |         14865000
 2016-07-01 00:00:00+02 |       15 | Manlleu_Pavello |         16556000
 2016-07-01 00:00:00+02 |       16 | Lleida          |         17720000
 2016-07-01 00:00:00+02 |       17 | Torrefarrera    |         18052000
 2016-08-01 00:00:00+02 |        1 | Alcolea         |        370614000
 2016-08-01 00:00:00+02 |        2 | Riudarenes_SM   |          3342000
 2016-08-01 00:00:00+02 |        4 | Riudarenes_BR   |          3512000
 2016-08-01 00:00:00+02 |        5 | Riudarenes_ZE   |          1457000
 2016-08-01 00:00:00+02 |        9 | Picanya         |         37638000
 2016-08-01 00:00:00+02 |       10 | Torregrossa     |        137210000
 2016-08-01 00:00:00+02 |       11 | Valteina        |         90130000
 2016-08-01 00:00:00+02 |       14 | Manlleu_Piscina |         14957000
 2016-08-01 00:00:00+02 |       15 | Manlleu_Pavello |         16028000
 2016-08-01 00:00:00+02 |       16 | Lleida          |         15729000
 2016-08-01 00:00:00+02 |       17 | Torrefarrera    |         16435000
 2016-09-01 00:00:00+02 |        1 | Alcolea         |        344435000
 2016-09-01 00:00:00+02 |        2 | Riudarenes_SM   |          2697000
 2016-09-01 00:00:00+02 |        4 | Riudarenes_BR   |          2985000
 2016-09-01 00:00:00+02 |        5 | Riudarenes_ZE   |          1222000
 2016-09-01 00:00:00+02 |        9 | Picanya         |         32730000
 2016-09-01 00:00:00+02 |       10 | Torregrossa     |        145220000
 2016-09-01 00:00:00+02 |       11 | Valteina        |         72210000
 2016-09-01 00:00:00+02 |       14 | Manlleu_Piscina |         11671000
 2016-09-01 00:00:00+02 |       15 | Manlleu_Pavello |         11641000
 2016-09-01 00:00:00+02 |       16 | Lleida          |         12952000
 2016-09-01 00:00:00+02 |       17 | Torrefarrera    |         14223000
 2016-10-01 00:00:00+02 |        1 | Alcolea         |        259490000
 2016-10-01 00:00:00+02 |        2 | Riudarenes_SM   |          1689000
 2016-10-01 00:00:00+02 |        4 | Riudarenes_BR   |          1876000
 2016-10-01 00:00:00+02 |        5 | Riudarenes_ZE   |          1463000
